add_float; 7.685155; 1.000000; 0.338655%
add_float2; 7.691478; 1.000823; 0.355296%
add_float4; 7.905240; 1.028638; 2.476677%
add_float8; 8.231069; 1.071035; 0.450631%
sub_float; 7.699660; 1.000000; 0.227757%
sub_float2; 7.686082; 0.998237; 0.533075%
sub_float4; 7.945404; 1.031916; 0.699753%
sub_float8; 8.233709; 1.069360; 0.307467%
mul_float; 6.070940; 1.000000; 0.192450%
mul_float2; 6.942679; 1.143592; 0.165785%
mul_float4; 7.520280; 1.238734; 0.252834%
mul_float8; 7.989950; 1.316098; 0.217583%
div_float; 5.948173; 1.000000; 0.555362%
div_float2; 6.613679; 1.111884; 0.467157%
div_float4; 7.326840; 1.231780; 0.251307%
div_float8; 7.847115; 1.319248; 1.157755%
